idUsuari;Nom;Cognom;email;Edat;Tel.;Premium
1;Marta;Gonzalez;MartaGonzalez@imdb.com;50;643836550;0
2;Anna;Fernandez;AnnaFernandez@imdb.com;29;654632435;0
3;Pol;Lopez;PolLopez@imdb.com;39;649900811;1
4;Eloi;Perez;EloiPerez@imdb.com;12;670445180;0
5;Rita;Martinez;RitaMartinez@imdb.com;15;671396437;0
6;Merce;Sanchez;MerceSanchez@imdb.com;25;634342630;0
7;Joan;Alonso;JoanAlonso@imdb.com;63;630250887;0
8;Jordi;Mu–oz;JordiMu–oz@imdb.com;53;695033112;0
9;Alex;Murys;AlexMurys@imdb.com;42;686795114;0
10;Felip;Vives;FelipVives@imdb.com;67;665175652;0
11;Paula;Domingo;PaulaDomingo@imdb.com;86;644262655;0
12;Ivan;Gil;IvanGil@imdb.com;54;641228517;0
13;Cristina;Punt’;CristinaPunt’@imdb.com;32;639900251;0
14;Pau ;Maza;Pau Maza@imdb.com;12;655413865;0
15;Marc;Gomez;MarcGomez@imdb.com;34;681982578;1
16;Josep;Vila;JosepVila@imdb.com;56;673721157;0
17;Josefina;Arnau;JosefinaArnau@imdb.com;76;670741331;1
